Company,Facility,OrderID,OrderType,Customer,Carrier,Reference,PO,SO,PRO,StoreNo,CreateTime,ScheduleDate,AppointmentTime,InYardDate,PickedDate,ShippedDate,Cancelled,CancelledDate,EntryType,ContainerNo,ContainerType,ContainerQty,TrailerQty,TrailerType,EntryID,RushOrder,LoadNo,LoadType,UsedHours,LabelQty,Item,ItemGrade,ItemType,Title,Supplier,ItemUOM,OrderedQty,PickType,PickQty,ShippedQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM,PalletType,PalletQty
LT,VB,DN-4337,,HALLMART001,Pending Routing,KOHLS-0816-032618,KOHLS-0816-032618,KOHLS-0816-032618,,,2018-03-20 12:19:41,2018-03-26 12:00:00,,,2018-03-20 14:29:23,2018-03-26 09:03:31,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74390,,,HALLMART001,,CS,23,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74391,,,HALLMART001,,CS,15,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74392,,,HALLMART001,,CS,33,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74393,,,HALLMART001,,CS,32,CASE_PICK,0,0,2.9409534,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77528,,,HALLMART001,,CS,66,CASE_PICK,0,0,3.0746331000000002,cubic footage,11,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,,,HALLMART001,,CS,52,CASE_PICK,0,0,3.6411804,cubic footage,12,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77530,,,HALLMART001,,CS,28,CASE_PICK,0,0,3.2083128000000003,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77531,,,HALLMART001,,CS,24,CASE_PICK,0,0,3.6336573000000003,cubic footage,13,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77532,,,HALLMART001,,CS,23,CASE_PICK,0,0,3.0809988,cubic footage,11,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77533,,,HALLMART001,,CS,20,CASE_PICK,0,0,2.9409534,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77534,,,HALLMART001,,CS,32,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77535,,,HALLMART001,,CS,24,CASE_PICK,0,0,3.4756722,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78327,,,HALLMART001,,CS,40,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78328,,,HALLMART001,,CS,27,CASE_PICK,0,0,3.6336573000000003,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78331,,,HALLMART001,,CS,39,CASE_PICK,0,0,3.0746331000000002,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78332,,,HALLMART001,,CS,23,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
LT,VB,DN-4338,,HALLMART001,Pending Routing,KOHLS-0826-032618,KOHLS-0826-032618,KOHLS-0826-032618,,,2018-03-20 12:19:45,2018-03-26 12:00:00,,,2018-03-20 14:38:27,2018-03-26 09:03:38,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74390,,,HALLMART001,,CS,18,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74391,,,HALLMART001,,CS,10,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74392,,,HALLMART001,,CS,17,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74393,,,HALLMART001,,CS,14,CASE_PICK,0,0,2.9409534,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77528,,,HALLMART001,,CS,6,CASE_PICK,0,0,3.0746331000000002,cubic footage,11,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,,,HALLMART001,,CS,17,CASE_PICK,0,0,3.6411804,cubic footage,12,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77530,,,HALLMART001,,CS,18,CASE_PICK,0,0,3.2083128000000003,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77531,,,HALLMART001,,CS,20,CASE_PICK,0,0,3.6336573000000003,cubic footage,13,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77532,,,HALLMART001,,CS,16,CASE_PICK,0,0,3.0809988,cubic footage,11,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77533,,,HALLMART001,,CS,10,CASE_PICK,0,0,2.9409534,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77534,,,HALLMART001,,CS,18,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77535,,,HALLMART001,,CS,15,CASE_PICK,0,0,3.4756722,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78327,,,HALLMART001,,CS,20,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78328,,,HALLMART001,,CS,13,CASE_PICK,0,0,3.6336573000000003,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78331,,,HALLMART001,,CS,16,CASE_PICK,0,0,3.0746331000000002,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78332,,,HALLMART001,,CS,14,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
LT,VB,DN-4339,,HALLMART001,Pending Routing,KOHLS-0870-032618,KOHLS-0870-032618,KOHLS-0870-032618,,,2018-03-20 12:19:49,2018-03-26 12:00:00,,,2018-03-20 14:58:31,2018-03-26 09:04:19,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74390,,,HALLMART001,,CS,43,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74391,,,HALLMART001,,CS,38,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74392,,,HALLMART001,,CS,35,CASE_PICK,0,0,2.9409534,cubic footage,11,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74393,,,HALLMART001,,CS,21,CASE_PICK,0,0,2.9409534,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77528,,,HALLMART001,,CS,73,CASE_PICK,0,0,3.0746331000000002,cubic footage,11,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77529,,,HALLMART001,,CS,33,CASE_PICK,0,0,3.6411804,cubic footage,12,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77530,,,HALLMART001,,CS,50,CASE_PICK,0,0,3.2083128000000003,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77531,,,HALLMART001,,CS,27,CASE_PICK,0,0,3.6336573000000003,cubic footage,13,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77532,,,HALLMART001,,CS,35,CASE_PICK,0,0,3.0809988,cubic footage,11,POUND,484,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77533,,,HALLMART001,,CS,30,CASE_PICK,0,0,2.9409534,cubic footage,13,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77534,,,HALLMART001,,CS,39,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77535,,,HALLMART001,,CS,33,CASE_PICK,0,0,3.4756722,cubic footage,12,POUND,462,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78327,,,HALLMART001,,CS,34,CASE_PICK,0,0,3.194424,cubic footage,11,POUND,460,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78328,,,HALLMART001,,CS,29,CASE_PICK,0,0,3.6336573000000003,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78331,,,HALLMART001,,CS,35,CASE_PICK,0,0,3.0746331000000002,cubic footage,12,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78332,,,HALLMART001,,CS,27,CASE_PICK,0,0,3.2083128000000003,cubic footage,13,POUND,462,square footage,other size,1
LT,VB,DN-4431,,EFIKEE0001,UKWN,DN-03212018010123726,4500028250,4613533M01,,HB01,2018-03-21 01:09:31,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016506,,,EFIKEE0001,EFIKEE0001,EA,600,,600,600,0,cubic footage,0,POUND,0,square footage,other size,0
LT,VB,DN-4432,,EFIKEE0001,UKWN,DN-03212018010130425,4500028252,4613533M01,,HB01,2018-03-21 01:09:32,2018-03-21 12:00:00,,2018-04-04 10:01:20,,2018-04-10 13:23:28,false,,EDI,,,0,0,48,,false,LOAD-2156,,0,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017687,,,EFIKEE0001,EFIKEE0001,EA,900,,900,900,0,cubic footage,0,POUND,0,square footage,other size,0
